DateTime,Status,FileName,LineNo,Modules,FunctionName,Message
"2022-06-16 03:07:45,031 ", ERROR , http_communication_manager.py , 109 , http_communication_manager , post_data_with_response ," HTTPSConnectionPool(host='chiefnet-dev-api.yavar.in', port=443): Max retries exceeded with url: /v1/devices/provision (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f0f47b4b0a0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))
"
"2022-06-16 03:07:45,031 ", ERROR , provision_manager.py , 112 , provision_manager , __device_provisioning ," Expecting value: line 1 column 1 (char 0)
"
"2022-06-16 03:07:45,032 ", ERROR , provision_manager.py , 136 , provision_manager , __device_provisioning ," Device provisioning failed
"
"2022-06-16 03:07:55,033 ", INFO , provision_manager.py , 74 , provision_manager , __init__ ," Retrying device proviosioning
"
"2022-06-16 03:07:55,045 ", ERROR , http_communication_manager.py , 109 , http_communication_manager , post_data_with_response ," HTTPSConnectionPool(host='chiefnet-dev-api.yavar.in', port=443): Max retries exceeded with url: /v1/devices/provision (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f0f47b4b160>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))
"
"2022-06-16 03:07:55,046 ", ERROR , provision_manager.py , 112 , provision_manager , __device_provisioning ," Expecting value: line 1 column 1 (char 0)
"
"2022-06-16 03:07:55,046 ", ERROR , provision_manager.py , 136 , provision_manager , __device_provisioning ," Device provisioning failed
"
"2022-06-16 03:08:05,047 ", INFO , provision_manager.py , 74 , provision_manager , __init__ ," Retrying device proviosioning
"
"2022-06-16 03:08:05,059 ", ERROR , http_communication_manager.py , 109 , http_communication_manager , post_data_with_response ," HTTPSConnectionPool(host='chiefnet-dev-api.yavar.in', port=443): Max retries exceeded with url: /v1/devices/provision (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f0f47b4b370>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))
"
"2022-06-16 03:08:05,059 ", ERROR , provision_manager.py , 112 , provision_manager , __device_provisioning ," Expecting value: line 1 column 1 (char 0)
"
"2022-06-16 03:08:05,060 ", ERROR , provision_manager.py , 136 , provision_manager , __device_provisioning ," Device provisioning failed
"
"2022-06-16 03:08:15,060 ", INFO , provision_manager.py , 74 , provision_manager , __init__ ," Retrying device proviosioning
"
"2022-06-16 03:08:15,065 ", ERROR , http_communication_manager.py , 109 , http_communication_manager , post_data_with_response ," HTTPSConnectionPool(host='chiefnet-dev-api.yavar.in', port=443): Max retries exceeded with url: /v1/devices/provision (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x7f0f47b4baf0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))
"
"2022-06-16 03:08:15,065 ", ERROR , provision_manager.py , 112 , provision_manager , __device_provisioning ," Expecting value: line 1 column 1 (char 0)
"
